date,open,high,low,close,adj_close,volume,div,split
2022-01-01,163.130005,164.899994,148.160004,155.639999,145.907593,106543000,,
2022-02-01,155.699997,160.449997,146.119995,154.250000,144.604492,88601200,,
2022-03-01,153.580002,161.240005,148.240005,157.710007,147.848145,72937700,,
2022-04-01,158.419998,160.479996,147.190002,147.449997,138.807312,50246300,,
2022-05-01,147.600006,153.460007,138.119995,148.929993,140.200546,74680700,,
2022-06-01,149.580002,150.279999,129.559998,134.229996,126.362198,48367900,,
2022-07-01,133.979996,146.199997,131.479996,145.839996,138.031631,32761400,,
2022-08-01,145.110001,153.100006,140.610001,140.759995,133.223618,41957100,,
2022-09-01,139.809998,147.449997,127.080002,127.279999,120.465332,49007300,,
2022-10-01,128.669998,140.449997,124.919998,139.559998,132.690353,65899000,,
2022-11-01,141.029999,148.889999,134.089996,148.820007,141.494537,81751900,,
2022-12-01,149.619995,150.199997,138.009995,141.250000,134.297165,58616800,,
2023-01-01,142.080002,151.729996,140.000000,151.729996,144.853577,57400800,,
2023-02-01,150.940002,155.720001,145.669998,146.600006,139.956085,55148400,,
2023-03-01,146.350006,150.210007,135.789993,144.619995,138.065826,97984800,,
2023-04-01,144.720001,146.210007,140.940002,145.139999,139.259384,55123700,,
2023-05-01,145.029999,145.830002,138.809998,139.610001,133.953461,102305400,,
2023-06-01,139.869995,150.009995,139.050003,149.639999,143.577057,132005800,,
2023-07-01,149.350006,155.770004,146.940002,154.880005,149.248596,112688200,,
2023-08-01,154.179993,154.649994,145.919998,149.919998,144.468903,100855200,,
2023-09-01,150.860001,151.169998,140.139999,141.690002,136.538177,84241700,,
2023-10-01,141.250000,143.500000,133.339996,135.830002,131.459549,142513500,,
2023-11-01,135.869995,148.369995,135.169998,148.300003,143.528305,123534200,,
2023-12-01,148.160004,158.600006,148.009995,157.800003,152.722656,155003300,,
2024-01-01,157.020004,158.839996,153.100006,156.460007,152.017654,146086900,,
2024-02-01,156.789993,163.220001,155.789993,162.789993,158.167908,133458800,,
2024-03-01,163.000000,169.800003,162.229996,169.369995,164.561081,112532900,,
2024-04-01,169.600006,169.669998,158.830002,161.199997,157.273499,150882600,,
2024-05-01,160.750000,168.470001,160.089996,165.779999,161.741943,106396300,,
2024-06-01,166.100006,166.570007,162.690002,164.279999,160.278473,102259200,,
2024-07-01,164.800003,173.080002,162.729996,171.600006,168.093185,159672100,,
2024-08-01,171.899994,175.960007,161.800003,175.869995,172.275925,135143500,,
2024-09-01,174.520004,179.940002,168.789993,179.160004,175.498703,126929900,,
2024-10-01,178.949997,182.220001,176.250000,176.289993,173.366394,104055200,,
2024-11-01,176.940002,188.160004,176.070007,187.619995,184.508499,124924600,,
2024-12-01,187.699997,187.869995,173.570007,175.229996,172.323975,136653900,,
2025-01-01,176.320007,183.229996,172.380005,181.240005,178.862061,165747200,,
2025-02-01,178.919998,183.020004,177.509995,180.179993,177.815948,147981100,,
